epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1263,1.61235,2.95651,1.42384,0.9728,0.05453,0.09988,0.06575,2.26954,3.78283,2.09851,7.69e-06,7.69e-06,7.69e-06
2,28.7477,1.74528,2.91576,1.41111,1,0.04109,0.10201,0.0671,2.25121,3.76424,2.07271,2.28416e-05,2.28416e-05,2.28416e-05
3,44.2837,1.80179,3.01643,1.42889,1,0.03526,0.1152,0.07895,2.20406,3.7206,2.03219,3.76887e-05,3.76887e-05,3.76887e-05
4,60.3215,1.74661,2.98859,1.46114,1,0.03826,0.12207,0.0853,2.15634,3.67403,1.99304,5.22312e-05,5.22312e-05,5.22312e-05
5,76.1034,1.91003,2.93489,1.43526,1,0.03984,0.12606,0.08873,2.10636,3.63861,1.95533,6.64693e-05,6.64693e-05,6.64693e-05
6,92.0328,1.91543,2.86833,1.49187,1,0.04593,0.13659,0.09801,2.07355,3.62034,1.92533,8.04028e-05,8.04028e-05,8.04028e-05
7,106.527,1.74503,2.78949,1.40606,1,0.06591,0.14987,0.11161,2.02747,3.58562,1.88273,9.40318e-05,9.40318e-05,9.40318e-05
8,119.995,1.56793,2.88177,1.37384,1,0.07262,0.17713,0.12738,1.97318,3.52709,1.82237,0.000107356,0.000107356,0.000107356
9,133.718,1.58014,2.78849,1.32301,1,0.06953,0.18228,0.12984,1.97447,3.51429,1.80327,0.000120376,0.000120376,0.000120376
10,146.968,1.53349,2.741,1.30468,1,0.0679,0.19224,0.13937,1.95853,3.50145,1.77316,0.000133092,0.000133092,0.000133092
11,160.512,1.58018,2.70309,1.36904,1,0.06791,0.19998,0.14137,1.91925,3.46011,1.73192,0.000145502,0.000145502,0.000145502
12,174.057,1.84297,2.69422,1.39815,1,0.07606,0.2055,0.14756,1.89144,3.42335,1.69632,0.000157609,0.000157609,0.000157609
13,187.185,1.59513,2.60134,1.28208,0.875,0.09438,0.2048,0.15385,1.86092,3.37411,1.6656,0.000169411,0.000169411,0.000169411
14,200.644,1.53972,2.65945,1.25692,0.875,0.1199,0.21046,0.15776,1.83571,3.33836,1.63654,0.000180908,0.000180908,0.000180908
15,213.496,1.48791,2.58274,1.2535,0.875,0.13423,0.21536,0.16241,1.79012,3.29072,1.60255,0.000192101,0.000192101,0.000192101
16,226.547,1.71004,2.62491,1.35249,0.85961,0.15086,0.22119,0.16143,1.77066,3.24936,1.58268,0.000202989,0.000202989,0.000202989
17,239.515,1.46415,2.59892,1.29984,0.85047,0.16288,0.22634,0.16444,1.73474,3.1899,1.55531,0.000213573,0.000213573,0.000213573
18,252.714,1.45707,2.57077,1.32062,0.85141,0.16079,0.23418,0.16952,1.68802,3.14408,1.52668,0.000223852,0.000223852,0.000223852
19,265.643,1.33588,2.53283,1.23408,0.85247,0.16203,0.24082,0.17567,1.65481,3.09878,1.50295,0.000233827,0.000233827,0.000233827
20,278.69,1.49837,2.47029,1.2225,0.84457,0.16159,0.24876,0.18158,1.64409,3.041,1.4792,0.000243497,0.000243497,0.000243497
21,292.267,1.31483,2.39278,1.1936,0.83975,0.16288,0.25487,0.19162,1.63035,2.99593,1.4605,0.000252863,0.000252863,0.000252863
22,305.679,1.51296,2.39472,1.19536,0.8682,0.16827,0.26134,0.19263,1.60613,2.9309,1.43718,0.000261924,0.000261924,0.000261924
23,319.426,1.41593,2.41602,1.19329,0.87083,0.16403,0.26581,0.19442,1.5822,2.86031,1.41363,0.00027068,0.00027068,0.00027068
24,332.72,1.38766,2.25346,1.17544,0.86991,0.16339,0.26916,0.19625,1.56883,2.79679,1.39454,0.000279132,0.000279132,0.000279132
25,345.927,1.62274,2.34862,1.19802,0.86295,0.16621,0.27718,0.19918,1.56182,2.74801,1.37826,0.00028728,0.00028728,0.00028728
26,359.212,1.36933,2.2932,1.21765,0.81587,0.21131,0.28384,0.20661,1.55317,2.71443,1.36633,0.000295123,0.000295123,0.000295123
27,373.334,1.42224,2.0814,1.19666,0.81091,0.2128,0.29718,0.21494,1.52641,2.6655,1.34509,0.000302661,0.000302661,0.000302661
28,386.951,1.4433,2.2221,1.17466,0.81091,0.2128,0.29718,0.21494,1.52641,2.6655,1.34509,0.000309895,0.000309895,0.000309895
29,399.955,1.43856,2.07123,1.16744,0.85268,0.18709,0.29737,0.21401,1.53539,2.61349,1.33917,0.000316825,0.000316825,0.000316825
30,416.607,1.59494,2.09773,1.163,0.68694,0.23932,0.30213,0.21633,1.54815,2.57051,1.33586,0.00032345,0.00032345,0.00032345
31,427.504,1.35651,1.99445,1.1126,0.68694,0.23932,0.30213,0.21633,1.54815,2.57051,1.33586,0.00032977,0.00032977,0.00032977
32,439.545,1.36062,2.01973,1.11969,0.68107,0.2502,0.30904,0.22099,1.54671,2.53721,1.33196,0.000335786,0.000335786,0.000335786
33,451.189,1.45124,2.00613,1.15028,0.55418,0.26565,0.31649,0.22413,1.55214,2.51451,1.33248,0.000341498,0.000341498,0.000341498
34,463.068,1.44193,2.10735,1.18785,0.55418,0.26565,0.31649,0.22413,1.55214,2.51451,1.33248,0.000346904,0.000346904,0.000346904
35,474.555,1.38311,1.95097,1.12302,0.53666,0.28567,0.32314,0.23086,1.5465,2.46974,1.32581,0.000352007,0.000352007,0.000352007
36,486.541,1.54418,1.91194,1.17175,0.53279,0.29013,0.33474,0.23512,1.54231,2.44424,1.32486,0.000356804,0.000356804,0.000356804
37,497.83,1.41612,1.83421,1.12156,0.53279,0.29013,0.33474,0.23512,1.54231,2.44424,1.32486,0.000361298,0.000361298,0.000361298
38,509.727,1.41472,1.86585,1.11099,0.52889,0.29635,0.3376,0.23299,1.55216,2.40055,1.32274,0.000365486,0.000365486,0.000365486
39,521.384,1.37728,1.90151,1.10587,0.54992,0.29323,0.34986,0.23867,1.54737,2.34478,1.31693,0.000369371,0.000369371,0.000369371
40,532.934,1.39672,1.93655,1.1114,0.54992,0.29323,0.34986,0.23867,1.54737,2.34478,1.31693,0.00037295,0.00037295,0.00037295
41,544.613,1.42997,1.69584,1.0846,0.69122,0.29188,0.36703,0.24874,1.52215,2.27798,1.31062,0.000376226,0.000376226,0.000376226
42,556.309,1.31201,1.65915,1.10118,0.70747,0.29766,0.38882,0.25917,1.49241,2.20328,1.30388,0.000379196,0.000379196,0.000379196
43,567.717,1.36102,1.69359,1.08449,0.70747,0.29766,0.38882,0.25917,1.49241,2.20328,1.30388,0.000381862,0.000381862,0.000381862
44,579.479,1.39244,1.84528,1.15044,0.64065,0.39971,0.4227,0.28236,1.47503,2.09965,1.28846,0.000384224,0.000384224,0.000384224
45,591.334,1.18644,1.68944,1.07445,0.64065,0.39971,0.4227,0.28236,1.47503,2.09965,1.28846,0.000386281,0.000386281,0.000386281
46,603.168,1.35599,1.64763,1.08798,0.65646,0.42129,0.43961,0.28915,1.46673,1.98716,1.26192,0.000388034,0.000388034,0.000388034
47,614.473,1.23722,1.5178,1.07418,0.65646,0.42129,0.43961,0.28915,1.46673,1.98716,1.26192,0.000389482,0.000389482,0.000389482
48,626.246,1.25102,1.63411,1.04837,0.65966,0.43289,0.44798,0.29985,1.41469,1.8958,1.22297,0.000390625,0.000390625,0.000390625
49,637.914,1.3932,1.55976,1.06889,0.65966,0.43289,0.44798,0.29985,1.41469,1.8958,1.22297,0.000391464,0.000391464,0.000391464
50,649.146,1.06373,1.56908,1.07825,0.69978,0.45243,0.46348,0.30654,1.37929,1.82603,1.19322,0.000391999,0.000391999,0.000391999
51,660.282,1.13404,1.51973,1.10937,0.69978,0.45243,0.46348,0.30654,1.37929,1.82603,1.19322,0.000388345,0.000388345,0.000388345
52,671.93,1.3578,1.5357,1.07429,0.73045,0.43907,0.45866,0.31352,1.34521,1.76742,1.16983,0.000380732,0.000380732,0.000380732
53,683.858,1.08813,1.40741,1.03494,0.73045,0.43907,0.45866,0.31352,1.34521,1.76742,1.16983,0.000373119,0.000373119,0.000373119
54,695.247,1.2118,1.50684,1.09722,0.7395,0.42522,0.47144,0.32072,1.31921,1.72144,1.16003,0.000365506,0.000365506,0.000365506
55,706.882,1.16896,1.4603,1.0801,0.7395,0.42522,0.47144,0.32072,1.31921,1.72144,1.16003,0.000357893,0.000357893,0.000357893
56,718.309,1.25921,1.47029,1.07308,0.73717,0.43768,0.47707,0.32203,1.29013,1.67001,1.15024,0.00035028,0.00035028,0.00035028
